source_url,target1_url,rank1,metric1,target2_url,rank2,metric2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/0/00000.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/0/58941.png?raw=true,5,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/0/36254.png?raw=true,4,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/1/00001.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/1/48790.png?raw=true,3,weighted_cls_spatial_self_sim_2,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/1/46221.png?raw=true,1,lpips_vgg
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/2/00002.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/2/42203.png?raw=true,3,weighted_cls_spatial_self_sim_2,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/2/61349.png?raw=true,5,lpips_vgg
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/3/00003.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/3/42416.png?raw=true,4,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/3/63963.png?raw=true,3,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/4/00004.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/4/49797.png?raw=true,4,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/4/38887.png?raw=true,2,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/5/00005.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/5/22812.png?raw=true,4,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/5/11680.png?raw=true,2,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/6/00006.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/6/38181.png?raw=true,5,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/6/01867.png?raw=true,2,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/7/00007.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/7/38667.png?raw=true,3,weighted_cls_spatial_self_sim_2,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/7/23038.png?raw=true,4,lpips_vgg
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/8/00008.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/8/67940.png?raw=true,2,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/8/00371.png?raw=true,5,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/9/00009.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/9/16667.png?raw=true,4,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/9/63838.png?raw=true,4,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/10/00010.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/10/43534.png?raw=true,3,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/10/20788.png?raw=true,5,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/11/00011.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/11/61211.png?raw=true,5,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/11/23268.png?raw=true,3,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/12/00012.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/12/21755.png?raw=true,5,lpips_vgg,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/12/01595.png?raw=true,1,weighted_cls_spatial_self_sim_2
https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/13/00013.png?raw=true,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/13/14161.png?raw=true,2,weighted_cls_spatial_self_sim_2,https://github.com/FlipTheCat/ubiquitous-octo-potato/blob/main/ffhq_2afc_lpips_vgg_weighted_cls_spatial_self_sim_2/13/34891.png?raw=true,2,lpips_vgg
